Complaint,Category,Priority
"Hindi maayos ang pamamahala ng pagtatapon ng basura sa aming komunidad. Hindi regular ang pangongolekta ng basura at madalas naiiwan itong nakatambak sa kalsada at mga pampublikong lugar. Nagdudulot ito ng mabahong amoy, umaakit ng peste, at nagdadala ng panganib sa kalusugan. Dahil dito, nagiging marumi at hindi kaaya-aya ang kapaligiran para sa mga residente. Nais naming humiling sa lokal na pamahalaan na magpatupad ng mas epektibo at regular na sistema ng pamamahala ng basura.",Waste Management,High
"Hindi well-managed ang waste disposal sa community namin. Irregular ang garbage collection kaya nagpa-pile up ang basura sa streets at public areas. Nagdudulot ito ng bad smell, pests, at health risks. Dahil dito, nagiging dirty at unpleasant ang surroundings ng mga residents. Sana magkaroon ng mas efficient at consistent na waste management system ang LGU.",Waste Management,High
"Waste disposal is not managed well in our community. Garbage collection is irregular, and trash often piles up on the streets and near public areas. This not only creates foul odors but also attracts pests and poses serious health risks. The lack of proper waste management makes the surroundings dirty and unpleasant for residents. We request the local government to implement a more efficient and consistent waste disposal system.""",Waste Management,High
"Garbage bins in our community are overflowing because they are not emptied regularly. Trash spills onto the streets, creating an unsanitary environment that poses health risks to residents. The foul smell and unsightly piles of garbage also discourage cleanliness and affect the community’s image. We request that waste collection be done more frequently to prevent garbage bins from overflowing.",Waste Management,High
"Umaapaw ang mga basurahan sa aming komunidad dahil hindi ito regular na nililinis at kinokolekta. Kumakalat ang basura sa kalsada, na nagdudulot ng hindi malinis na kapaligiran at panganib sa kalusugan ng mga residente. Ang mabahong amoy at hindi kaaya-ayang tanawin ay nakakaapekto rin sa kalinisan at imahe ng komunidad. Nais naming hilingin na mas madalas gawin ang pangongolekta ng basura para maiwasan ang pag-apaw ng mga basurahan.",Waste Management,High
"Overflowing na ang garbage bins sa community namin kasi hindi sila regularly na nako-collect. Kumakalat na ang basura sa streets, which creates an unhealthy environment and health risks para sa mga residents. Nakakadagdag din ng foul smell at eyesore sa paligid. Sana mas maging frequent ang garbage collection para hindi mag-overflow ang mga basurahan.""",Waste Management,High
"Uncollected trash in our community creates serious health risks. It attracts pests such as flies, mosquitoes, and rats that spread diseases. The foul odor and dirty surroundings also affect the daily lives of residents. We urge immediate action and consistent waste collection to protect the health of the community.""",Waste Management,High
"Ang hindi nakokolektang basura sa aming komunidad ay nagdudulot ng panganib sa kalusugan. Nakakaakit ito ng mga langaw, lamok, at daga na nagdadala ng sakit. Ang mabahong amoy at maruming kapaligiran ay nakakaapekto sa pang-araw-araw na pamumuhay ng mga residente. Nais naming hilingin ang agarang aksyon at regular na pangongolekta ng basura para maprotektahan ang kalusugan ng komunidad.",Waste Management,High
"Yung uncollected trash dito sa community namin sobrang health risk. It attracts flies, mosquitoes, and rats na nagdadala ng sakit. Yung foul smell at maruming paligid nakakaapekto sa daily lives ng mga tao. Sana magkaroon ng immediate action at regular garbage collection para safe ang health ng lahat.",Waste Management,High
"Trash blocking the drainage system causes flooding during rains. The clogged drains prevent proper water flow, resulting in standing water that affects roads, houses, and pedestrians. This also creates breeding grounds for mosquitoes and other pests. Immediate cleanup and stricter waste management are needed.",Waste Management,High
"Ang mga basurang bumabara sa drainage system ay nagdudulot ng pagbaha tuwing umuulan. Dahil barado ang daluyan ng tubig, nagkakaroon ng baha na nakakaapekto sa mga kalsada, bahay, at mga dumadaan. Nagiging lugar din ito ng pagdami ng lamok at iba pang peste. Kailangan ng agarang paglilinis at mas mahigpit na pamamahala sa basura.",Waste Management,High
"Yung trash na bumabara sa drainage system nagdudulot ng baha every time umuulan. Dahil clogged ang daluyan ng tubig, nagkakaroon ng standing water na nakakaapekto sa kalsada, houses, at mga dumadaan. Nagiging breeding ground din ito ng lamok at pests. Kailangan ng immediate cleanup at stricter waste management.",Waste Management,High
"Garbage has not been collected in our area for several days. The uncollected trash produces a foul odor, attracts flies, and poses health risks to residents. Immediate collection and regular scheduling are needed to avoid further problems",Waste Management,High
"Hindi nakokolekta ang basura sa aming lugar ng ilang araw na. Dahil dito, nagkakaroon ng masamang amoy, maraming langaw, at panganib sa kalusugan ng mga residente. Kailangan ng agarang pagkolekta at regular na iskedyul para maiwasan ang mas malalang problema.",Waste Management,High
"Garbage has not been collected in our area for days na. Dahil hindi pa rin nakukuha, nagiging mabaho, dumadami ang flies, at nagiging health risk sa mga tao. Kailangan ng immediate collection at mas regular na schedule para maiwasan ang mas malaking problema.",Waste Management,High
"Our community has had no water for three days. This has caused difficulties for households as residents struggle with drinking, cooking, and sanitation. The prolonged lack of water service is very inconvenient and poses health risks. We request immediate action to restore water supply.",Water Services,High
"Wala nang tubig sa aming komunidad sa loob ng tatlong araw. Nahihirapan ang mga residente sa pag-inom, pagluluto, at paglilinis. Ang matagal na pagkawala ng suplay ng tubig ay nagdudulot ng malaking abala at panganib sa kalusugan. Nawa’y maagapan agad ang pagbabalik ng tubig.",Water Services,High
"Our community has had no water for three days na. Residents are having a hard time with drinking, cooking, and sanitation. Sobrang hassle at health risk ang matagal na pagkawala ng tubig. Sana maayos agad at ma-restore ang water supply.",Water Services,High
"There has been no water supply since yesterday, and it has greatly affected our daily activities. Residents are struggling with drinking, cooking, and sanitation needs. This disruption is causing serious inconvenience and may lead to health issues. We urge immediate action to restore the water supply.",Water Services,High
"Walang suplay ng tubig simula pa kahapon, at malaki ang epekto nito sa pang-araw-araw naming gawain. Nahihirapan ang mga residente sa pag-inom, pagluluto, at paglilinis. Malaking abala at maaaring magdulot ng sakit ang ganitong sitwasyon. Nawa’y agad na maibalik ang suplay ng tubig.",Water Services,High
"There has been no water supply since yesterday. Ang hirap para sa mga residente sa pag-inom, pagluluto, at sanitation. Sobrang hassle at delikado pa para sa health kung magtagal pa. Sana ma-restore agad ang water supply.",Water Services,High
"The water pressure in our barangay is always weak at night, making it difficult for residents to do essential tasks such as cooking, bathing, and cleaning. This problem has been recurring and causes great inconvenience for families. We hope that proper action will be taken to ensure a stable water supply throughout the day and night.",Water Services,High
"Laging mahina ang pressure ng tubig sa aming barangay tuwing gabi, kaya nahihirapan ang mga residente sa mga pangunahing gawain tulad ng pagluluto, paliligo, at paglilinis. Paulit-ulit na itong problema at nagdudulot ng malaking abala sa mga pamilya. Sana ay gumawa ng paraan upang maging maayos at sapat ang suplay ng tubig araw at gabi.",Water Services,High
"The water pressure in our barangay is always weak tuwing gabi. Ang hirap para sa residents na magluto, maligo, at maglinis. This has been a recurring problem and super inconvenient for families. Sana maayos na para stable ang water supply both day and night.",Water Services,High
"The water supply in our area is unsafe and has a bad smell. Many residents are worried about possible health risks since the water is used for cooking, drinking, and daily household needs. We request that the water be tested and treated immediately to ensure it is safe for everyone in the community.",Water Services,High
"Ang suplay ng tubig sa aming lugar ay hindi ligtas at may mabahong amoy. Maraming residente ang nag-aalala sa posibleng panganib sa kalusugan dahil ginagamit ang tubig sa pagluluto, pag-inom, at pang-araw-araw na pangangailangan. Hinihiling namin na agad itong masuri at malinis upang matiyak na ligtas ito para sa lahat sa komunidad.",Water Services,High
"The water supply in our area is unsafe at may bad smell. Residents are worried kasi ginagamit ito for cooking, drinking, and daily needs. Sana ma-test at ma-treat agad ang tubig para sure na safe for everyone in the community.",Water Services,High
"The water pipes in our community are leaking in many areas. This not only causes water wastage but also creates puddles that make roads slippery and unsafe. The leaks also affect the water supply, leading to low pressure in households. We request immediate repair of the damaged pipes to avoid further problems.",Water Services,High
Maraming tubo ng tubig sa aming komunidad ang may tagas. Nagdudulot ito ng pag-aaksaya ng tubig at bumubuo ng mga bara at putik sa daan na delikado sa mga dumadaan. Apektado rin ang suplay ng tubig kaya nagiging mahina ang pressure sa mga bahay. Hinihiling namin na agad na ayusin ang mga sirang tubo upang maiwasan ang mas malalang problema,Water Services,High
"The water pipes in our area ay puro leaks na. Ang daming water wasted at nagkakaroon pa ng puddles sa daan, making it slippery and unsafe. Dahil dito, mahina rin ang water pressure sa mga bahay. Sana ma-repair agad ang mga tubo before it gets worse.",Water Services,High
"There has been no water supply the whole day in our community. This situation makes it very difficult for households to cook, clean, and maintain proper hygiene. The lack of water also affects schools and small businesses. We ask for an immediate solution and timely updates whenever there is a water service interruption.",Water Services,High
"Walang suplay ng tubig buong araw sa aming komunidad. Napakahirap para sa mga pamilya na magluto, maglinis, at mapanatili ang tamang kalinisan. Apektado rin ang mga paaralan at maliliit na negosyo. Nais naming humiling ng agarang aksyon at malinaw na abiso tuwing may abala sa suplay ng tubig.",Water Services,High
"Whole day na walang tubig sa community namin. Ang hirap magluto, maglinis, at mag-maintain ng proper hygiene. Pati schools at small businesses naapektuhan. Sana maayos agad at magbigay ng clear updates kapag may water interruption.",Water Services,High
"Despite making several follow-ups regarding my concern, I have not received any response from the office. This lack of communication causes frustration and makes residents feel neglected. We hope the office can improve in providing timely updates and clear feedback on complaints.",Service Delays and Inaction,High
"Kahit ilang ulit na akong nag-follow-up tungkol sa aking reklamo, wala pa rin akong natatanggap na tugon mula sa opisina. Nakakadismaya ang kawalan ng komunikasyon at pakiramdam ng mga residente ay napapabayaan. Nais naming magkaroon ng mas maayos na sistema ng pagbibigay ng update at malinaw na sagot sa mga reklamo.",Service Delays and Inaction,High
Paulit-ulit na akong nag-follow-up about my complaint pero wala pa ring response from the office. Nakaka-frustrate at parang napapabayaan ang mga residents. Sana mas maging responsive sila at magbigay ng clear updates sa mga concerns.,Service Delays and Inaction,High
Email inquiries sent by residents to the office are often ignored or left unanswered. This lack of response makes it difficult for people to get the information or assistance they need. We hope the office can improve communication and respond promptly to emails.,Service Delays and Inaction,High
"Ang mga email inquiry na ipinapadala ng mga residente sa opisina ay kadalasang hindi pinapansin o hindi nasasagot. Dahil dito, nahihirapan ang mga tao na makakuha ng tamang impormasyon o tulong na kanilang kailangan. Nais naming sana ay mapabuti ang komunikasyon at mas mabilis na sumagot ang opisina sa mga email.",Service Delays and Inaction,High
"Yung mga email inquiries na pinapadala ng residents sa office madalas walang reply or totally ignored. Dahil dito, ang hirap kumuha ng info o assistance na kailangan. Sana mas maging responsive ang office sa mga emails.",Service Delays and Inaction,Medium
Vegetables being sold in the market are overpriced compared to the standard rates. This makes it difficult for ordinary families to afford healthy food. We hope the local government can monitor and regulate prices to prevent unfair overpricing.,Overpricing,High
"Sobrang taas ng presyo ng gulay sa palengke kumpara sa tamang halaga. Dahil dito, nahihirapan ang mga karaniwang pamilya na makabili ng masustansyang pagkain. Sana ay bantayan at ayusin ng lokal na pamahalaan ang presyo para maiwasan ang hindi makatarungang pagtataas.",Overpricing,High
"Yung gulay sa market sobrang overpriced kumpara sa tamang presyo. Dahil dito, nahihirapan ang mga families na makabili ng healthy food. Sana i-monitor at i-regulate ng LGU ang prices para maiwasan ang unfair overpricing.",Overpricing,High
"Applications are always delayed, causing inconvenience to citizens who rely on timely approvals. This affects work, school, and other important needs. We hope the offices can improve their processing system to ensure faster and more efficient service.",Service Delays and Inaction,Medium
"Laging delayed ang mga application, na nagdudulot ng abala sa mga mamamayan na umaasa sa agarang pag-apruba. Naaapektuhan nito ang trabaho, pag-aaral, at iba pang mahahalagang pangangailangan. Sana ay mapabuti ng mga opisina ang kanilang sistema para mas mabilis at maayos ang serbisyo.",Service Delays and Inaction,Medium
"Applications are always delayed kaya sobrang hassle para sa citizens na umaasa sa mabilis na approval. Naaapektuhan pati work, school, at ibang important needs. Sana ma-improve ng offices ang processing system para maging faster at more efficient ang service.",Service Delays and Inaction,Medium
